Yule Lads #3;https://ipfs.infura.io/ipfs/QmW91NMPkn1igD8P2A8SuMiHDHaT2pyWarE5yxK4L9cgsA;Special;100;0.05;Christmas Mascots;
Christkind #1;https://ipfs.infura.io/ipfs/QmTbQXvbynCyQcXk1AkczFSJHVuzz11k4wQU8cQXm5c9jP;Limited;20;0.5;Christmas Mascots;
Christkind #2;https://ipfs.infura.io/ipfs/QmRf9R2ZGTeLKiGtw3TTXrW6nh32LAUrF9AWqaTpKmZzRB;Scarce;33;0.2;Christmas Mascots;
Christkind #3;https://ipfs.infura.io/ipfs/QmPFu6Dari7beTHhafyfyKmRVwiSEZ76MHganfL6ASjCk8;Rare;50;0.1;Christmas Mascots;
To the Moon;https://ipfs.infura.io/ipfs/QmSkGq1ASJesXdbqhPMEuGRiPJanX9qzDzm74vh4txp8ku;Special;100;0.05;Christmas Spirit;
Dos Amigos;https://ipfs.infura.io/ipfs/QmQkDfZ25wZLNqwsdt55vSZuGpNgv7UXXYbfhWqzUBoZpw;Special;100;0.05;Christmas Spirit;
Two for Us;https://ipfs.infura.io/ipfs/QmaL37mgtvGU2U3PpsoU1g4TtrBpnBvuJpebBQ5MY7LeDf;Special;100;0.05;Christmas Spirit;
Sobowski;https://ipfs.infura.io/ipfs/QmVnVgb1t7buWdjVVXQWmzzRgHUMfB8VYVyC7HgPS2dGLM;Epic;10;1;Christmas Spirit;
Bag Full of Presents;https://ipfs.infura.io/ipfs/QmWSPjbd3MhtKm6XwidYBZ4LgZNtKF1iZKumLGR7A2HSFV;Rare;50;0.1;Christmas Spirit;
Blockhouse;https://ipfs.infura.io/ipfs/Qma6EagFfpp9gbHFZpM9nZ8gTspnWB8jwHfeHhfbV4mCt4;Special;100;0.05;Christmas Spirit;
Merkle Baum;https://ipfs.infura.io/ipfs/QmSrkboCwv5frw1fVHqerhhDGktzCKoqXvAnWd5Px66mMR;Epic;10;1;Christmas Spirit;
Topeth;https://ipfs.infura.io/ipfs/QmRQYnjsqtRWs289tMsJiyjHz1891Vi5f9zoP16939Hy17;Special;100;0.05;Christmas Spirit;
The Night Before Christmas;https://ipfs.infura.io/ipfs/QmZqVFz52QUTw49B9E7dqZwtDRrittodscNfS5Agnx9zAe;Special;100;0.05;Christmas Spirit;
Raiden Frost;https://ipfs.infura.io/ipfs/QmQm2Nce2Nh7ztCAS8En56DjfNuBu874DaKV6n8fEj9yvC;Epic;10;1;Raiden;
Raiden Julekugle;https://ipfs.infura.io/ipfs/Qmen8a7on7jcqTcHMECKF4v3eMYNkw4diwXhGFC4nirNdz;Rare;50;0.1;Raiden;
Raiden Lebkuchen;https://ipfs.infura.io/ipfs/QmY8YdEdhRpKXjFarbVYHm5BnLnJGk93mB7QMgRyakCBLE;Special;100;0.05;Raiden;
